date,season,ranking,acousticness,danceability,duration,energy,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1/11/2014,0,4,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
1/11/2014,0,5,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
1/11/2014,0,6,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
1/11/2014,0,7,0.000362,0.83642,317.53601,0.413563,2,0.122944,-13.295,1,0.405226,139.998,4,0.203645
1/11/2014,0,8,0.090109,0.749624,239.33288,0.786797,10,0.14464,-9.644,1,0.184007,124.993,4,0.78315
1/11/2014,0,9,0.251195,0.595919,243.62331,0.594719,3,0.151991,-8.121,1,0.050365,121.111,4,0.287292
1/11/2014,0,10,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
1/4/2014,0,1,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
1/4/2014,0,2,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
1/4/2014,0,3,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
1/4/2014,0,4,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
1/4/2014,0,5,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
1/4/2014,0,6,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
1/4/2014,0,7,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
1/4/2014,0,8,0.000362,0.83642,317.53601,0.413563,2,0.122944,-13.295,1,0.405226,139.998,4,0.203645
1/4/2014,0,9,0.251195,0.595919,243.62331,0.594719,3,0.151991,-8.121,1,0.050365,121.111,4,0.287292
1/4/2014,0,10,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
12/28/2013,0,1,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
12/28/2013,0,2,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
12/28/2013,0,3,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
12/28/2013,0,4,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
12/28/2013,0,5,0.251195,0.595919,243.62331,0.594719,3,0.151991,-8.121,1,0.050365,121.111,4,0.287292
12/28/2013,0,6,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
12/28/2013,0,7,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
12/28/2013,0,8,0.000362,0.83642,317.53601,0.413563,2,0.122944,-13.295,1,0.405226,139.998,4,0.203645
12/28/2013,0,9,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
12/28/2013,0,10,0.400499,0.706521,363.521,0.836554,7,0.772821,-2.734,1,0.316824,148.2,4,0.627796
12/21/2013,0,1,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
12/21/2013,0,2,0.285791,0.709491,255.87823,0.411295,8,0.072161,-8.257,1,0.03528,134.001,4,0.625919
12/21/2013,0,3,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
12/21/2013,0,4,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
12/21/2013,0,5,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
12/21/2013,0,6,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
12/21/2013,0,7,0.251195,0.595919,243.62331,0.594719,3,0.151991,-8.121,1,0.050365,121.111,4,0.287292
12/21/2013,0,8,0.022267,0.785359,295.34621,0.804214,2,0.11504,-5.235,1,0.06186,127.943,4,0.781185
12/21/2013,0,9,0.000362,0.83642,317.53601,0.413563,2,0.122944,-13.295,1,0.405226,139.998,4,0.203645
12/21/2013,0,10,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
12/14/2013,0,1,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
12/14/2013,0,2,0.208737,0.381277,254.95156,0.465594,3,0.051751,-9.658,0,0.049688,142.949,4,0.336058
12/14/2013,0,3,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
12/14/2013,0,4,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
12/14/2013,0,5,0.251195,0.595919,243.62331,0.594719,3,0.151991,-8.121,1,0.050365,121.111,4,0.287292
12/14/2013,0,6,0.000362,0.83642,317.53601,0.413563,2,0.122944,-13.295,1,0.405226,139.998,4,0.203645
12/14/2013,0,7,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
12/14/2013,0,8,0.022267,0.785359,295.34621,0.804214,2,0.11504,-5.235,1,0.06186,127.943,4,0.781185
12/14/2013,0,9,0.090109,0.749624,239.33288,0.786797,10,0.14464,-9.644,1,0.184007,124.993,4,0.78315
12/14/2013,0,10,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
12/7/2013,0,1,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
12/7/2013,0,2,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
12/7/2013,0,3,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
12/7/2013,0,4,0.000362,0.83642,317.53601,0.413563,2,0.122944,-13.295,1,0.405226,139.998,4,0.203645
12/7/2013,0,5,0.090109,0.749624,239.33288,0.786797,10,0.14464,-9.644,1,0.184007,124.993,4,0.78315
12/7/2013,0,6,0.861655,0.333422,218.61832,0.271431,3,0.111481,-14.659,1,0.027875,82.497,4,0.289349
12/7/2013,0,7,0.022267,0.785359,295.34621,0.804214,2,0.11504,-5.235,1,0.06186,127.943,4,0.781185
12/7/2013,0,8,0.008305,0.273395,183.52757,0.871484,8,0.161717,-4.768,0,0.059755,95.037,3,0.436829
12/7/2013,0,9,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
12/7/2013,0,10,0.003433,0.525726,246.58621,0.798627,2,0.165894,-5.35,1,0.053204,124.043,4,0.605856
11/30/2013,0,1,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
11/30/2013,0,2,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
11/30/2013,0,3,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
11/30/2013,0,4,0.090109,0.749624,239.33288,0.786797,10,0.14464,-9.644,1,0.184007,124.993,4,0.78315
11/30/2013,0,5,0.63554,0.503512,289.41306,0.410612,3,0.103579,-7.783,0,0.02653,108.415,4,0.316594
11/30/2013,0,6,0.000362,0.83642,317.53601,0.413563,2,0.122944,-13.295,1,0.405226,139.998,4,0.203645
11/30/2013,0,7,0.022267,0.785359,295.34621,0.804214,2,0.11504,-5.235,1,0.06186,127.943,4,0.781185
11/30/2013,0,8,0.251195,0.595919,243.62331,0.594719,3,0.151991,-8.121,1,0.050365,121.111,4,0.287292
11/30/2013,0,9,0.003433,0.525726,246.58621,0.798627,2,0.165894,-5.35,1,0.053204,124.043,4,0.605856
11/30/2013,0,10,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
11/23/2013,0,1,0.673158,0.336955,221.57288,0.419594,3,0.084689,-6.503,1,0.034738,127.766,4,0.16023
11/23/2013,0,2,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
11/23/2013,0,3,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
11/23/2013,0,4,0.400499,0.706521,363.521,0.836554,7,0.772821,-2.734,1,0.316824,148.2,4,0.627796
11/23/2013,0,5,0.090109,0.749624,239.33288,0.786797,10,0.14464,-9.644,1,0.184007,124.993,4,0.78315
